Timestamp,Mode,Data
15:07:40.705,RX,"s,188,166,20,169,0.1"
15:07:40.706,RX,"2,-0.19,9.55,0.21,-0"
15:07:40.706,RX,".35,9.66,-0.15,0.01,"
15:07:40.707,RX,"0.04,0.11,-0.03,0.01"
15:07:40.708,RX,",30,14,41,e"
15:07:40.735,RX,"s,188,167,19,169,0.3"
15:07:40.736,RX,"5,-0.08,9.53,0.36,-0"
15:07:40.736,RX,".21,9.65,-0.17,-0.02"
15:07:40.737,RX,",0.01,0.12,0.02,0.00"
15:07:40.739,RX,",31,14,41,e"
15:07:40.765,RX,"s,188,167,19,169,-0."
15:07:40.766,RX,"01,0.01,9.52,0.02,-0"
15:07:40.766,RX,".05,9.58,-0.11,-0.03"
15:07:40.767,RX,",-0.01,0.04,0.03,-0."
15:07:40.768,RX,"02,32,15,40,e"
15:07:40.826,RX,"s,189,168,19,169,-0."
15:07:40.826,RX,"22,0.15,9.43,-0.20,0"
15:07:40.826,RX,".01,9.48,-0.10,-0.03"
15:07:40.827,RX,",-0.02,0.03,0.01,-0."
15:07:40.829,RX,"03,31,15,41,e"
15:07:40.856,RX,"s,189,168,18,169,-0."
15:07:40.856,RX,"06,0.34,9.47,0.01,0."
15:07:40.857,RX,"22,9.55,-0.15,-0.03,"
15:07:40.857,RX,"-0.00,0.08,0.01,-0.0"
15:07:40.859,RX,"2,31,15,39,e"
15:07:40.886,RX,"s,189,169,18,169,0.0"
15:07:40.886,RX,"3,0.25,9.56,0.12,-0."
15:07:40.887,RX,"13,9.63,-0.14,0.00,0"
15:07:40.887,RX,".02,0.04,0.01,-0.01,"
15:07:40.889,RX,"31,15,38,e"
15:07:40.946,RX,"s,189,169,18,169,0.0"
15:07:40.946,RX,"5,0.10,9.52,0.15,-0."
15:07:40.947,RX,"04,9.61,-0.03,0.01,-"
15:07:40.947,RX,"0.02,0.02,0.03,0.00,"
15:07:40.949,RX,"31,16,43,e"
15:07:40.976,RX,"s,189,169,18,169,-0."
15:07:40.976,RX,"00,-0.09,9.47,0.05,-"
15:07:40.977,RX,"0.10,9.56,0.05,-0.01"
15:07:40.977,RX,",-0.05,-0.04,0.02,-0"
15:07:40.979,RX,".01,31,24,40,e"
15:07:41.006,RX,"s,189,169,18,169,-0."
15:07:41.006,RX,"19,0.25,9.48,0.01,0."
15:07:41.007,RX,"16,9.53,0.04,-0.01,-"
15:07:41.007,RX,"0.04,-0.03,0.01,-0.0"
15:07:41.009,RX,"1,31,21,39,e"
15:07:41.066,RX,"s,189,169,18,169,0.0"
15:07:41.066,RX,"2,0.40,9.57,-0.07,0."
15:07:41.067,RX,"15,9.56,0.08,-0.02,-"
15:07:41.067,RX,"0.03,-0.06,-0.03,-0."
15:07:41.068,RX,"00,31,20,39,e"
15:07:41.096,RX,"s,189,169,18,169,0.0"
15:07:41.096,RX,"8,-0.02,9.54,0.16,-0"
15:07:41.097,RX,".33,9.60,0.09,0.03,-"
15:07:41.097,RX,"0.01,-0.05,-0.00,0.0"
15:07:41.099,RX,"2,30,18,40,e"
15:07:41.126,RX,"s,189,168,18,169,-0."
15:07:41.156,RX,"01,-0.34,9.54,-0.01,"
15:07:41.156,RX,"-0.41,9.59,0.08,-0.0"
15:07:41.157,RX,"1,-0.03,-0.06,0.02,0"
15:07:41.158,RX,".00,31,18,40,e"
15:07:41.186,RX,"s,189,168,18,169,-0."
15:07:41.186,RX,"13,-0.18,9.49,-0.03,"
15:07:41.187,RX,"0.03,9.50,0.05,-0.01"
15:07:41.187,RX,",-0.03,0.01,0.02,-0."
15:07:41.189,RX,"01,31,17,43,e"
15:07:41.216,RX,"s,189,168,18,169,-0."
15:07:41.216,RX,"22,0.29,9.56,-0.18,0"
15:07:41.217,RX,".09,9.58,0.02,-0.02,"
15:07:41.217,RX,"-0.01,-0.01,-0.01,-0"
15:07:41.218,RX,".01,30,26,39,e"
15:07:41.246,RX,"s,189,169,18,169,0.1"
15:07:41.246,RX,"4,0.51,9.56,0.13,-0."
15:07:41.247,RX,"03,9.66,0.00,0.02,0."
15:07:41.247,RX,"02,0.01,-0.01,0.00,3"
15:07:41.248,RX,"0,101,38,e"
15:07:41.306,RX,"s,189,169,18,169,0.0"
15:07:41.307,RX,"4,-0.07,9.46,0.19,-0"
15:07:41.307,RX,".18,9.58,0.05,0.01,0"
15:07:41.308,RX,".00,-0.03,-0.01,0.01"
15:07:41.309,RX,",31,176,43,e"
15:07:41.336,RX,"s,189,169,18,169,0.0"
15:07:41.336,RX,"4,0.02,9.56,0.00,-0."
15:07:41.337,RX,"15,9.54,0.07,0.01,-0"
15:07:41.338,RX,".01,-0.03,0.00,0.02,"
15:07:41.338,RX,"31,205,39,e"
15:07:41.365,RX,"s,189,169,18,169,-0."
15:07:41.366,RX,"03,-0.04,9.49,-0.02,"
15:07:41.367,RX,"-0.02,9.54,0.07,0.00"
15:07:41.367,RX,",-0.02,-0.04,-0.00,-"
15:07:41.368,RX,"0.00,31,197,39,e"
15:07:41.426,RX,"s,189,168,18,169,-0."
15:07:41.426,RX,"03,0.34,9.52,-0.08,0"
15:07:41.456,RX,".07,9.57,0.09,0.01,-"
15:07:41.456,RX,"0.01,-0.04,-0.00,-0."
15:07:41.457,RX,"01,31,211,41,e"
15:07:41.457,RX,"s,189,169,18,169,-0."
15:07:41.458,RX,"01,0.23,9.48,0.01,-0"
15:07:41.459,RX,".00,9.57,0.04,0.01,-"
15:07:41.460,RX,"0.01,-0.04,0.00,0.01"
15:07:41.486,RX,",32,203,40,e"
15:07:41.486,RX,"s,189,169,18,169,-0."
15:07:41.487,RX,"10,0.01,9.56,-0.03,-"
15:07:41.488,RX,"0.29,9.59,0.06,0.01,"
15:07:41.488,RX,"-0.01,-0.05,-0.02,0."
15:07:41.489,RX,"01,31,184,38,e"
15:07:41.546,RX,"s,189,168,18,169,-0."
15:07:41.546,RX,"03,-0.01,9.53,0.01,-"
15:07:41.576,RX,"0.04,9.54,0.13,0.01,"
15:07:41.576,RX,"-0.03,-0.04,-0.01,0."
15:07:41.577,RX,"00,30,166,42,e"
15:07:41.578,RX,"s,189,168,19,169,0.0"
15:07:41.578,RX,"2,-0.01,9.49,0.02,-0"
15:07:41.579,RX,".17,9.56,0.10,0.01,-"
15:07:41.580,RX,"0.02,-0.04,-0.01,0.0"
15:07:41.606,RX,"1,31,148,42,e"
15:07:41.636,RX,"s,189,168,19,169,-0."
15:07:41.666,RX,"03,-0.11,9.56,-0.06,"
15:07:41.666,RX,"-0.20,9.57,-0.01,-0."
15:07:41.666,RX,"00,-0.00,0.00,0.01,-"
15:07:41.667,RX,"0.00,30,129,38,e"
15:07:41.668,RX,"s,189,168,18,169,-0."
15:07:41.669,RX,"05,-0.09,9.49,0.01,-"
15:07:41.669,RX,"0.17,9.57,-0.08,-0.0"
15:07:41.695,RX,"1,0.01,0.05,0.02,-0."
15:07:41.696,RX,"01,31,112,38,e
s,18"
15:07:41.697,RX,"9,169,18,169,-0.06,-"
15:07:41.697,RX,"0.03,9.52,0.01,-0.15"
15:07:41.698,RX,",9.59,-0.09,-0.01,0."
15:07:41.699,RX,"02,0.07,0.01,-0.01,3"
15:07:41.725,RX,"1,97,44,e"
15:07:41.756,RX,"s,189,169,18,169,-0."
15:07:41.756,RX,"07,0.03,9.49,0.10,-0"
15:07:41.757,RX,".05,9.57,-0.11,-0.02"
15:07:41.758,RX,",0.01,0.05,-0.01,-0."
15:07:41.759,RX,"02,31,87,37,e"
15:07:41.786,RX,"s,189,170,18,169,-0."
